ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId
Understand Multiples and Factors,Multiples and Factors,C,Which of the following statements is true about the multiples of the number 4?,4 has an odd multiple.,4 has no odd multiples.,4 has only even multiples.,4 has both even and odd multiples.,2358.0,,,
Calculate the scale factor between two similar shapes,Length Scale Factors in Similar Shapes,D,"Two similar rectangles are shown below. The first rectangle has a length of 8 cm and a width of 4 cm. The second rectangle has a length of 12 cm and a width of 6 cm. What is the scale factor from the first rectangle to the second rectangle?
",2,3,4,1.5,,2360.0,,
Telling Time,Time,B,What time is it if the minute hand is on 10 and the hour hand is between 3 and 4?,3:10,3:50,4:10,4:50,2366.0,,,
Distinguish between dependent and mutually exclusive events,Probability of Combined Events,A,"A bag contains 5 red marbles, 3 blue marbles, and 2 green marbles. Two marbles are drawn from the bag without replacement. What is the probability that the first marble is red and the second marble is blue?",\( \frac{5}{10} \times \frac{3}{9} \),\( \frac{5}{10} + \frac{3}{10} \),\( \frac{5}{10} \times \frac{3}{10} \),\( \frac{5}{10} - \frac{3}{10} \),,,2367.0,
Measure angles using a protractor,"Basic Angle Facts (straight line, opposite, around a point, etc)",A,What is the measure of angle \( \theta \) in the diagram below? ![A diagram showing an angle with one side along the 0-degree line of the protractor and the other side intersecting the protractor at 45 degrees.],\( 45^{\circ} \),\( 90^{\circ} \),\( 135^{\circ} \),\( 180^{\circ} \),,2369.0,,
Identify the correct angle on a straight line,"Basic Angle Facts (straight line, opposite, around a point, etc)",C,"In the diagram below, what is the size of angle \( x \)? ![A straight line with three angles marked. The first angle is 50 degrees, the second angle is x, and the third angle is 130 degrees.]",\( 50^{\circ} \),\( 130^{\circ} \),\( 100^{\circ} \),Not enough information,2370.0,,,
Factorise a quadratic expression in the form ax² + bx + c where a > 1,Factorising into a Double Bracket,B,Factorise the following expression: \( 2x^2 + 7x + 3 \),\( (2x + 3)(x + 1) \),\( (2x + 1)(x + 3) \),\( (2x + 3)(2x + 1) \),\( (x + 3)(x + 1) \),2372.0,,,
Simplify complex fractions by combining divisions,Simplifying Complex Fractions,A,"Simplify the following expression:
\[
\frac{\frac{12}{3}}{\frac{4}{2}}
\]",\( 2 \),\( 4 \),\( 6 \),\( 8 \),,,2379.0,
Identify the correct form of the equation of a straight line,Equation of a Straight Line,B,Which of the following is the correct form of the equation of a straight line?,\( y = m + cx \),\( y = mx + c \),\( y = c + mx \),\( y = x + mc \),2382.0,,,
Understand the multiplicative identity property,Multiplication and Division,B,What is the result of \( 7 \times 1 \)?,\( 1 \),\( 7 \),\( 8 \),\( 0 \),2383.0,,,
Determine the lower and upper bounds of a truncated number,Truncation and Rounding,C,A number is truncated to 3 decimal places to give 5.678. What are the lower and upper bounds of the original number?,"Lower bound: 5.677, Upper bound: 5.679","Lower bound: 5.678, Upper bound: 5.679","Lower bound: 5.6775, Upper bound: 5.6785","Lower bound: 5.678, Upper bound: 5.6789",2385.0,,,
Calculate a fraction of a fraction,Fractions,A,What is \(\frac{2}{3}\) of \(\frac{3}{4}\)?,\(\frac{1}{2}\),\(\frac{1}{4}\),\(\frac{1}{6}\),\(\frac{1}{8}\),,2387.0,,
Round numbers to 1 significant figure,Rounding to Significant Figures,B,What is \( 45.6 \) rounded to 1 significant figure?,\( 46 \),\( 50 \),\( 40 \),\( 45 \),2390.0,,,
Understand the median in a frequency table,Statistics,C,"A teacher recorded the number of books read by students in a month. The data is summarized in the table below:

| Number of Books | Frequency |
|-----------------|-----------|
| 1               | 5         |
| 2               | 10        |
| 3               | 15        |
| 4               | 8         |
| 5               | 2         |

What is the median number of books read by the students?
",1,2,3,4,,2391.0,,
Calculate the midpoint of grouped data,Statistics - Grouped Data,A,"A survey was conducted to find the number of hours students spend on homework each week. The data is grouped as follows: 0-5 hours, 6-10 hours, 11-15 hours, 16-20 hours. What is the midpoint of the group 11-15 hours?",13,5,10,15,,2393.0,,
Identify properties of an equilateral triangle,Properties of Triangles,C,Which of the following statements is true for an equilateral triangle?,It has one angle that is 90 degrees.,It has two sides of equal length and one different.,All sides are of equal length and all angles are 60 degrees.,It has one side that is twice the length of the other two sides.,,2394.0,,
Multiply two-digit numbers using the grid method,Multiplication,B,"Use the grid method to calculate \( 24 \times 35 \).

|   | 20 | 4 |
|---|----|---|
| 30 | 600 | 120 |
| 5  | 100 | 20 |

What is the final answer?",840,860,820,800,2396.0,,,
Compare fractions with the same numerator,Comparing Fractions,B,Which of the following statements is true?,\( \frac{3}{4} = \frac{3}{5} \),\( \frac{3}{4} > \frac{3}{5} \),\( \frac{3}{4} < \frac{3}{5} \),None of the above,2400.0,,,
Estimate Population Size Using Capture-Recapture Method,Sampling and Estimation,A,"A biologist is studying a population of fish in a lake. She captures 50 fish, marks them, and releases them back into the lake. A week later, she captures 40 fish and finds that 10 of them are marked. What is the best estimate of the total fish population in the lake?
",200,500,2000,5000,,,2404.0,
Divide a number by 8,Division with Decimals,A,"What is the value of:
\[
48 \div 8
\]",\( 6 \),\( 5.6 \),\( 5.8 \),\( 6.8 \),,2405.0,,
Multiplying a Fraction by an Integer,Fractions and Integers,A,Calculate the value of \( \frac{3}{4} \times 5 \).,\( \frac{15}{4} \),\( \frac{3}{20} \),\( \frac{5}{4} \),\( \frac{3}{4} \),,2406.0,,
Identify the common difference in an arithmetic sequence,Arithmetic Sequences,B,"Consider the sequence: 3, 7, 11, 15, 19, ...
What is the common difference of this sequence?",2,4,6,8,2407.0,,,
Construct a multiplication sample space diagram,Probability and Sample Space,B,"Tom and Katie are creating a sample space diagram for the multiplication of two single-digit numbers. They are considering the numbers 2 and 3. Tom believes the sample space should be constructed by placing the digits next to each other, like this: 23. Katie believes the correct way is to multiply the numbers, resulting in 6. Who is correct?",Only Tom,Only Katie,Both Tom and Katie,Neither is correct,2409.0,,,
Identify and interpret outliers in a data set,Data Analysis and Statistics,C,"A teacher recorded the number of hours students spent on homework over a week. The data set is as follows: 3.5, 4.2, 4.8, 5.1, 5.5, 6.0, 6.5, 7.2, 7.8, 8.0, 12.3. Identify the outlier in this data set.",3.5,4.2,12.3,8.0,2410.0,,,
Multiplying Large Numbers,Multiplication,A,Calculate the product of 123 and 45.,5535,5535 + 4920,5535 + 4920 + 1230,5535 + 4920 + 1230 + 123,,2411.0,,
Understand the concept of the universal set,Set Theory,A,"Consider the following Venn diagram where the universal set \( U \) is represented by the rectangle and the set \( A \) is represented by the circle. The elements of \( U \) are \( \{1, 2, 3, 4, 5, 6, 7, 8, 9, 10\} \) and the elements of \( A \) are \( \{2, 4, 6, 8\} \).

What is the correct representation of the universal set \( U \)?

![Venn diagram with a rectangle representing the universal set U and a circle representing set A. The elements 2, 4, 6, 8 are inside the circle, and the elements 1, 3, 5, 7, 9, 10 are outside the circle but inside the rectangle.]
","\( \{1, 2, 3, 4, 5, 6, 7, 8, 9, 10\} \)","\( \{1, 3, 5, 7, 9, 10\} \)","\( \{2, 4, 6, 8\} \)","\( \{1, 2, 3, 4, 5, 6, 7, 8, 9, 10\} \setminus \{2, 4, 6, 8\} \)",,2418.0,,
Perform basic arithmetic operations,Addition and Subtraction,A,Calculate the following: \( 23 + 45 \),\( 68 \),\( 65 \),\( 28 \),\( 25 \),,2419.0,,
Understand the difference between direct and inverse proportion,Proportion,A,"If 10 workers can complete a job in 5 days, how many days will it take 25 workers to complete the same job, assuming they work at the same rate?",2 days,12.5 days,3 days,20 days,,2420.0,,
Identify properties of rectangles,Properties of Quadrilaterals,B,"Sarah and John are discussing the properties of rectangles. Sarah says, ""A rectangle has one pair of equal sides."" John says, ""A rectangle has two pairs of equal sides."" Who is correct?",Only Sarah,Only John,Both Sarah and John,Neither is correct,2421.0,,,
Simplify algebraic expressions by combining like terms,Algebraic Expressions,A,"Simplify the following expression:
\[
3x + 4y - 2x + 5y
\]",\( 1x + 9y \),\( 5x + 9y \),\( 1x + 1y \),\( 5x + 1y \),,2422.0,,
Find a fraction of an amount,Fractions of Amounts,A,What is \( \frac{2}{5} \) of 30?,12,6,150,10,,,2429.0,
Solve proportion problems involving fractional parts,Proportions and Ratios,A,"A recipe for a cake requires 2.5 cups of flour for every 1 cup of sugar. If you have 6 cups of sugar, how many cups of flour do you need?",15 cups,12 cups,10 cups,9 cups,,2430.0,,
Perform multi-digit multiplication,Multi-Digit Multiplication,A,"Calculate the following product:
\[
24 \times 15
\]",\( 360 \),\( 350 \),\( 340 \),\( 330 \),,2431.0,,
Identify the midpoint on a number line,Number Line and Midpoints,B,"On the number line below, what number should replace the star to correctly label the midpoint between 2 and 8?
![A number line with 2 and 8 marked at the ends and a star in the middle]
",4,5,6,7,2434.0,,,
Understand the Impact of Outliers on Range,Range and Interquartile Range from a List of Data,B,"A teacher recorded the number of pages read by students in a week. The data is as follows:
\[
120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300, 1000
\]
What is the range of the data after removing the outlier (1000)?",180,280,1000,290,,,2439.0,
Calculate the area of a circle,Area of Circles,C,A circular garden has a radius of 7 meters. What is the area of the garden?,\( 44 \pi \) meters\(^2\),\( 14 \pi \) meters\(^2\),\( 49 \pi \) meters\(^2\),\( 22 \pi \) meters\(^2\),2440.0,,,
Distinguish between multiplication and exponentiation,Basic Operations and Exponents,B,Calculate the value of \( 3 \times 4 \) and \( 3^4 \). Which of the following is correct?,\( 3 \times 4 = 12 \) and \( 3^4 = 12 \),\( 3 \times 4 = 12 \) and \( 3^4 = 81 \),\( 3 \times 4 = 7 \) and \( 3^4 = 12 \),\( 3 \times 4 = 7 \) and \( 3^4 = 81 \),2441.0,,,
Convert compound measures into different units,Unit Conversion,B,A car travels at a speed of 60 kilometers per hour. What is the speed of the car in meters per second?,1000 meters per second,16.67 meters per second,100 meters per second,6000 meters per second,2444.0,,,
Evaluate Estimations,Estimation and Approximation,B,"A student estimated the number of pages in a book to be 250 pages. After counting, the actual number of pages was found to be 275 pages. Is the student's estimate an overestimate or an underestimate?",Overestimate,Underestimate,Exact estimate,Cannot be determined,2448.0,,,
Solve linear equations with variables on both sides,Linear Equations,A,"Solve the equation:
\[
3x + 5 = 2x + 10
\]",\( x = 5 \),\( x = 15 \),\( x = 10 \),\( x = 3 \),,2449.0,,
Vector Multiplication by a Scalar,Vectors,A,"Given the vector \(\mathbf{v} = \begin{pmatrix} 3 \\ 4 \end{pmatrix}\), what is the result of multiplying \(\mathbf{v}\) by 2?",\(\begin{pmatrix} 6 \\ 8 \end{pmatrix}\),\(\begin{pmatrix} 6 \\ 4 \end{pmatrix}\),\(\begin{pmatrix} 3 \\ 8 \end{pmatrix}\),\(\begin{pmatrix} 5 \\ 6 \end{pmatrix}\),,2451.0,,
Identify properties of a parallelogram,Properties of Quadrilaterals,D,Which of the following statements is true for a parallelogram?,A parallelogram has one pair of equal sides.,A parallelogram has two pairs of equal sides.,A parallelogram has one pair of parallel sides.,A parallelogram has two pairs of parallel sides.,2452.0,,,
Apply Trigonometric Ratios to Non-Right Angled Triangles,Trigonometry,B,"In triangle ABC, angle A is 50 degrees, angle B is 60 degrees, and side AB is 10 units long. What is the length of side AC? (Note: Do not use the Law of Sines or Cosines, only basic trigonometric ratios.)",8.39 units,11.76 units,12.86 units,7.66 units,2455.0,,,
Identify and use properties of alternate angles,Angle Facts with Parallel Lines,A,"In the diagram below, line \( l \) is parallel to line \( m \), and line \( t \) is a transversal. If angle \( a \) is 50 degrees, what is the measure of angle \( b \)?

![A diagram showing two parallel lines l and m with a transversal t. Angles a and b are alternate interior angles, with angle a marked as 50 degrees.]
",50 degrees,130 degrees,40 degrees,180 degrees,,2459.0,,
Identify angles in the same segment of a circle,Circle Theorems,A,"In the diagram below, points A, B, C, and D lie on the circumference of a circle. The angle ∠ACB is 40°. What is the measure of angle ∠ADB?
[Diagram: A circle with points A, B, C, and D on the circumference. Chords AC and BD intersect inside the circle. ∠ACB is marked as 40°.]",40°,50°,90°,140°,,2460.0,,
Identify the median in a list of numbers,"Averages (mean, median, mode) from a List of Data",B,"Consider the following list of numbers: 3, 7, 1, 9, 5, 12, 8. What is the median of this list?",5,7,8,9,2462.0,,,
Multiply an integer by a fraction,Multiplying Fractions and Integers,C,Calculate: \( 4 \times \frac{3}{8} \),\( \frac{4}{3} \),\( \frac{3}{2} \),\( \frac{12}{8} \),\( \frac{32}{3} \),2463.0,,,
Identify points that are equidistant from two given points,Coordinate Geometry,A,"Points A and B are located at (1, 2) and (5, 6) respectively. Which of the following points is equidistant from both A and B?","(3, 4)","(2, 3)","(4, 5)","(6, 7)",,2467.0,,
Understand the relationship between fractions and degrees in a circle,Angles and Fractions,C,A student is asked to draw an angle that represents three quarters of a turn. What angle should the student draw?,90 degrees,180 degrees,270 degrees,360 degrees,2468.0,,,
Calculate the range from a list of data,Range and Interquartile Range from a List of Data,B,"A group of students recorded the number of pages they read in a week. The data is as follows: 120, 150, 180, 200, 220, 250, 280. What is the range of the data?",400,160,120,280,2471.0,,,
Time Conversion,Time and Measurement,B,"If a short video clip lasts for 1 minute and 30 seconds, how many seconds long is the video clip?",60 seconds,90 seconds,120 seconds,150 seconds,2477.0,,,
Identify the correct plan view of a 3D shape,3D Shapes and Views,B,"A 3D shape is shown below. Which of the following diagrams represents the plan view of the shape? ![A 3D shape consisting of a rectangular prism with a smaller rectangular prism on top of it, centered and slightly offset to one side.]()
","![A side view of the 3D shape, showing the smaller rectangular prism on top of the larger one, but from the side.]","![A top view of the 3D shape, showing the outline of the larger rectangular prism with the smaller rectangular prism centered and slightly offset to one side.]","![A front view of the 3D shape, showing the larger rectangular prism with the smaller one on top, but from the front.]","![A perspective view of the 3D shape, showing the shape from an angle.]",2478.0,,,
Understand the meaning of exponents,Exponents and Powers,B,What is the value of \( 5^1 \)?,\( 0.5 \),\( 5 \),\( 0.1 \),\( 1 \),,,2482.0,
Evaluate expressions with negative bases raised to powers,Exponents and Powers,A,Evaluate the expression: \((-2)^3\),\( -8 \),\( 8 \),\( -\frac{1}{8} \),\( \frac{1}{8} \),,,2483.0,
Identify the base angles of an isosceles triangle,Properties of Triangles,B,"In the isosceles triangle ABC, where AB = AC, which two angles are the base angles? ![An isosceles triangle ABC with AB = AC, and angles A, B, and C labeled.]",Angles A and B,Angles B and C,Angles A and C,"Angles A, B, and C",2486.0,,,
Apply Pythagoras' Theorem to Verify Right Triangles,Pythagoras' Theorem,A,"A student is given a triangle with side lengths 5, 12, and 13. They notice that the side lengths form a pattern (5, 12, 13) and assume that Pythagoras' theorem does not apply. Is this triangle a right triangle? Verify using Pythagoras' theorem.","Yes, it is a right triangle.","No, it is not a right triangle.",The theorem does not apply to this triangle.,"The pattern is a coincidence, but it is not a right triangle.",,,2490.0,
Compare Angles Using Gradient,Geometry and Angles,A,"On a coordinate grid, two lines are drawn. Line A passes through points (1, 2) and (3, 6), and Line B passes through points (2, 1) and (4, 5). Which line has a larger angle with the x-axis?",Line A,Line B,Both lines have the same angle,Not enough information,,2495.0,,
Understand the correct interpretation of composite function notation,Composite Functions,A,"Given the functions \( f(x) = 2x + 3 \) and \( g(x) = x - 1 \), what is the value of \( (f \circ g)(4) \)?",\( 11 \),\( 13 \),\( 5 \),\( 7 \),,,2496.0,
Transformations of Functions,Translating Functions,A,The graph of \( y = f(x) \) is translated to the graph of \( y = f(x - 3) \). How does this transformation affect the graph of \( y = f(x) \)?,The graph is translated 3 units to the right.,The graph is translated 3 units to the left.,The graph is translated 3 units up.,The graph is translated 3 units down.,,,,2497.0
Convert a number to Roman numerals,Roman Numerals,B,Convert the number 49 to Roman numerals.,IL,XLIX,LIX,XLXI,2498.0,,,
Identify the graph of a reciprocal function,Graphs of Reciprocal Functions,C,Which of the following graphs represents the equation \( y = \frac{1}{x} \)?,A straight line passing through the origin,A parabola opening upwards,"A hyperbola with two branches, one in the first and third quadrants, and one in the second and fourth quadrants",A horizontal line parallel to the x-axis,,2502.0,,
Understand the relationship between percentages and quantities,Percentages and Proportions,B,"A store has a 25% off sale on all items. If a customer buys a shirt originally priced at $40 and a pair of jeans originally priced at $60, which item will the customer save more money on?",The shirt,The jeans,The same amount on both,Not enough information,2503.0,,,
Calculate cumulative frequency,Cumulative Frequency,A,"The table below shows the number of books read by students in a month. Calculate the cumulative frequency for the class ""3-5 books"".

| Number of Books | Frequency |
|-----------------|-----------|
| 0-2             | 15        |
| 3-5             | 20        |
| 6-8             | 10        |
| 9-11            | 5         |
",35,20,55,40,,2506.0,,
Identify the regions on a double Venn diagram given in words,Venn Diagrams,A,"In a survey of 100 students, 40 students like Math, 35 students like Science, and 20 students like both Math and Science. How many students like only Math or only Science but not both?",55 students,35 students,20 students,15 students,,2509.0,,
Find the nth term rule for a quadratic sequence,Quadratic Sequences (nth term),A,"The first few terms of a quadratic sequence are given: 2, 5, 10, 17, 26, ...
Find the nth term rule for this sequence.",\( n^2 + 1 \),\( 2n + 1 \),\( 3n - 1 \),\( n^2 + 2n \),,2513.0,,
Apply the order of operations in a calculation involving multiple operations,Order of Operations (BIDMAS),A,Calculate the value of the following expression: \( 12 - 3 \times 2 + 4 \),\( 10 \),\( 14 \),\( 16 \),\( 22 \),,,2518.0,
Measure Reflex Angles,Angles and Measurement,A,What is the measure of the reflex angle at point A in the diagram below? ![A diagram showing a point A with an angle that is clearly more than 180 degrees but less than 360 degrees. The angle is marked with an arc.],\( 220^{\circ} \),\( 140^{\circ} \),\( 320^{\circ} \),\( 180^{\circ} \),,2521.0,,
Venn Diagrams and Set Notation,Venn Diagrams,B,"A survey was conducted among 50 students to find out their preferences for two subjects: Math and Science. 25 students like Math, 20 students like Science, and 10 students like both subjects. How many students do not like either subject?
",15,5,10,20,2522.0,,,
Evaluate expressions with fractional exponents,Exponents and Roots,A,Evaluate the expression \( 16^{1/4} \).,\( 2 \),\( 4 \),\( 8 \),\( 16.25 \),,,,2523.0
Identify the gradient of a line from its graph,Gradient and Intercept of a Line,B,"What is the gradient of the line shown in the graph below? ![A graph showing a line that slopes downwards from left to right, passing through the points (0, 5) and (5, 0).]",\( 1 \),\( -1 \),\( 5 \),\( -5 \),2526.0,,,
Solve quadratic equations by factoring,Quadratic Equations,C,Solve the quadratic equation \( x^2 - 6x + 9 = 0 \).,\( x = 3 \),\( x = 3 \) and \( x = -3 \),\( x = 3 \) and \( x = 3 \),\( x = 9 \),2527.0,,,
Calculate the perimeter of a rectangle on a square grid,Perimeter of Simple Shapes,A,A rectangle is drawn on a square grid. The rectangle is 5 squares long and 3 squares wide. What is the perimeter of the rectangle?,16 squares,15 squares,30 squares,8 squares,,,2528.0,
Convert between units of mass,Units of Mass,C,"A truck can carry a maximum load of 2 tons. If a shipment of goods weighs 4000 pounds, can the truck carry this shipment without exceeding its maximum load?","Yes, because 4000 pounds is less than 2 tons.","No, because 4000 pounds is more than 2 tons.","Yes, because 4000 pounds is exactly 2 tons.","No, because 4000 pounds is less than 2 tons.",,,,2529.0
Simplify algebraic expressions,Algebraic Expressions,B,Simplify the expression: \( 3a + 4b - 2ab \),\( 3a + 4b - 2a \times b \),\( 3a + 4b - 2ab \),\( 3a + 4b - 2a + b \),\( 3a + 4b - 2a - 2b \),2533.0,,,
Convert between non-standard and standard form,Standard Form,B,Convert \( 81 \times 10^{3} \) to standard form.,\( 81000 \),\( 8.1 \times 10^{4} \),\( 8100 \),\( 8.1 \times 10^{3} \),2534.0,,,
Understand and apply the capture-recapture method,Statistics and Probability,B,"A biologist is studying a population of fish in a lake. She captures 50 fish, tags them, and releases them back into the lake. A week later, she captures 40 fish and finds that 5 of them are tagged. Using the capture-recapture method, estimate the total number of fish in the lake.",200,400,800,1000,2536.0,,,
Interpret a frequency table,Averages and Range from Frequency Table,A,"A teacher recorded the number of books read by students in a month. The frequency table is shown below. What is the value of \( x \) if the total number of students is 30?

\[
\begin{array}{|c|c|}
\hline
\text{Number of Books} & \text{Frequency} \\
\hline
1 & 5 \\
\hline
2 & 8 \\
\hline
3 & x \\
\hline
4 & 7 \\
\hline
\end{array}
\]
",\( 10 \),\( 12 \),\( 15 \),\( 18 \),,,2538.0,
Identify the maximum and minimum values in a set of numbers,Maximum and Minimum Values,A,"What is the maximum and minimum value in the following set of numbers?
\[
-3, 12, 7, -8, 5, 1
\]","Maximum: 12, Minimum: -8","Maximum: 12, Minimum: 1","Maximum: 7, Minimum: -3","Maximum: 5, Minimum: -8",,2540.0,,
Find the square root of a decimal,Square Roots and Decimals,B,What is the square root of \( 0.04 \)?,\( 0.02 \),\( 0.2 \),\( 2 \),\( 0.002 \),2541.0,,,
Identify prime numbers,Prime Numbers and Factors,B,Which of the following numbers is a prime number?,15,17,21,25,2545.0,,,
Calculate the probability of an event after an item is added to a set,Probability,B,"A bag contains 5 red marbles and 7 blue marbles. A green marble is added to the bag. If a marble is randomly selected from the bag, what is the probability that it is a red marble?",\( \frac{5}{12} \),\( \frac{5}{13} \),\( \frac{6}{13} \),\( \frac{5}{14} \),2548.0,,,
Add decimals with different numbers of decimal places,Adding and Subtracting Decimals,A,Calculate the sum of 2.34 and 0.5.,2.84,2.39,2.49,2.89,,2552.0,,
Rounding to Significant Figures,Rounding to Significant Figures,A,What is the first significant figure in the number 456.78?,4,5,6,7,,2553.0,,
Basic Operations with Integers,Addition and Subtraction of Integers,A,Calculate the following: \( 12 - 3 \),\( 9 \),\( 36 \),\( 15 \),\( 8 \),,2556.0,,
Calculate the cube of a number,"Squares, Cubes, and Higher Powers",B,What is the value of \( 3^3 \) ?,\( 9 \),\( 27 \),\( 81 \),\( 6 \),2557.0,,,
Simplify expressions involving division of exponents with different bases,Exponents and Powers,A,Simplify the expression \(\frac{2^5}{3^3}\).,\(\frac{32}{27}\),\(\frac{2}{3}\),\(\frac{10}{9}\),\(\frac{2^2}{3^2}\),,2559.0,,
Calculate the perimeter and area of a sector,Sectors of Circles,B,"A sector of a circle has a radius of 10 cm and a central angle of 60 degrees. Calculate the perimeter of the sector and the area of the sector. 
","Perimeter = 10.47 cm, Area = 52.36 cm²","Perimeter = 20.47 cm, Area = 52.36 cm²","Perimeter = 20.47 cm, Area = 10.47 cm²","Perimeter = 52.36 cm, Area = 10.47 cm²",,,2560.0,
Understand and apply the concept of upper and lower bounds,Upper and Lower Bounds,B,A length is measured as 15.6 cm to the nearest 0.1 cm. What is the upper bound of this measurement?,15.55 cm,15.65 cm,15.6 cm,15.7 cm,2562.0,,,
Understand the value of sets in a Venn diagram,Venn Diagrams,A,"In a class of 40 students, 25 students like playing basketball, 20 students like playing soccer, and 10 students like both basketball and soccer. How many students like only basketball?",15 students,10 students,25 students,5 students,,2564.0,,
Expand and Simplify Double Brackets,Expanding Double Brackets,B,Expand and simplify the following expression: \((x + 3)(x + 4)\),\(x^2 + 12\),\(x^2 + 7x + 12\),\(x^2 + 7x + 7\),\(x^2 + 7\),2567.0,,,
Identify multiples of a number,Multiples and Lowest Common Multiple,D,"If 12 is a multiple of 3, which of the following numbers must also be a multiple of 3?",24,36,48,60,2568.0,,,
Identify and Calculate Interior and Exterior Angles,Angles in Polygons,B,"In a regular hexagon, what is the measure of one exterior angle?",\( 120^{\circ} \),\( 60^{\circ} \),\( 180^{\circ} \),\( 30^{\circ} \),2570.0,,,
Apply the correct rules for dividing numbers with different bases,Exponents and Powers,A,Calculate the value of \(\frac{2^5 \times 3^4}{2^3 \times 3^2}\).,\(2^2 \times 3^2\),\(2^8 \times 3^6\),\(2^2 \times 3^6\),\(2^8 \times 3^2\),,2571.0,,
Multiply a decimal by a power of 10,Multiplying and Dividing with Decimals,B,Calculate \( 0.07 \times 1000 \).,\( 0.07000 \),\( 70 \),\( 700 \),\( 7 \),2574.0,,,
Misunderstanding Equivalent Ratios,Ratios and Proportions,B,"The ratio of boys to girls in a classroom is 3:4. If 2 more boys and 2 more girls join the classroom, what is the new ratio of boys to girls?",5:6,3:4,6:8,4:5,2575.0,,,
Identify the correct vector representation of a line segment,Vectors and Line Segments,A,"In the diagram below, the vector \(\vec{AB}\) is represented as \(\frac{2}{3}\vec{AC}\). If \(\vec{AC} = 3\vec{a}\), what is the correct representation of \(\vec{AB}\)?

![A diagram showing a line segment AC with point B on it such that AB is 2/3 of AC. Point A is at the start, B is in the middle, and C is at the end of the line segment.]
",\(\vec{AB} = 2\vec{a}\),\(\vec{AB} = \frac{3}{2}\vec{a}\),\(\vec{AB} = \frac{1}{3}\vec{a}\),\(\vec{AB} = 3\vec{a}\),,2578.0,,
Measure Length Using Degrees,Units of Measurement,B,A student measures the length of a pencil using a protractor and records it as 45 degrees. What is the actual length of the pencil in centimeters if the correct measurement is 15 cm?,45 cm,15 cm,30 cm,60 cm,2580.0,,,
Simplify expressions involving exponents with the same base,Laws of Exponents,B,Simplify the expression \( 2^3 \times 2^4 \).,\( 2^{12} \),\( 2^7 \),\( 2^1 \),\( 16 \),2582.0,,,
Compare Percentages of Different Numbers,Percentages,B,Which is greater: 20% of 150 or 30% of 100?,20% of 150,30% of 100,They are equal,Not enough information,2584.0,,,
Measure Reflex Angles,Angles,C,"What is the measure of the reflex angle at point A in the diagram below? ![A diagram showing a reflex angle at point A, with the acute angle marked as 75°.]",75°,105°,255°,285°,,5.0,,
Calculate the gradient of a line given two points,Gradient as change in y over change in x,C,"What is the gradient of the line passing through the points (2, 3) and (5, 7)?",\( 4 \),\( 1 \),\( \frac{4}{3} \),\( \frac{3}{4} \),7.0,,,
Calculate duration from a timetable,Time and Timetables,A,A train timetable shows that a train departs from Station A at 14:15 and arrives at Station B at 16:45. How long is the journey from Station A to Station B?,2 hours 30 minutes,2 hours 15 minutes,1 hour 30 minutes,1 hour 15 minutes,,10.0,,
Interpret 3D shapes from different views,3D Shapes and Their Views,C,"A 3D shape is made up of several cubes. The front view and top view of the shape are shown below. What is the side view of the shape? 

Front View: 
```
```
Top View: 
```
```
Side View: 
A. 
```
```
B. 
```
```
C. 
```
```
D. 
```
```","
```
```","
```
```","
```
```","
```
```",12.0,,,
Time Calculation with Borrowing,Time Calculations,A,Sarah started her homework at 4:45 PM and finished at 6:20 PM. How long did she spend on her homework?,1 hour and 35 minutes,1 hour and 20 minutes,1 hour and 45 minutes,1 hour and 30 minutes,,13.0,,
Calculate time differences,Time and Clocks,A,Sarah's school starts at 8:00 AM and ends at 3:00 PM. She has a doctor's appointment that starts at 4:00 PM. How many hours does Sarah have between the end of school and the start of her doctor's appointment?,1 hour,2 hours,3 hours,4 hours,,17.0,,
Calculate the area of a rectangle given the lengths of its sides,Area of Simple Shapes,A,A rectangle has a length of 12 cm and a width of 5 cm. What is the area of the rectangle?,60 cm²,17 cm²,120 cm²,70 cm²,,18.0,,
Identify multiples of a given number,Multiples and Factors,A,Which of the following numbers is a multiple of 4?,12,15,18,20,,24.0,,
Understand the effect of multiplying by zero,Multiplication and Division,A,What is the result of \( 7 \times 0 \times 12 \)?,\( 0 \),\( 84 \),\( 12 \),\( 7 \),,25.0,,
Understand the concept of scaling in arithmetic,Scaling and Proportions,A,"If a recipe calls for 3 cups of flour to make 12 cookies, how many cups of flour are needed to make 48 cookies?",15 cups,12 cups,9 cups,6 cups,,30.0,,
Calculate frequency density for a histogram,Histograms,B,"A histogram is being constructed to represent the distribution of test scores in a class. The class interval for scores between 70 and 80 is 10, and the frequency of students in this interval is 15. What is the frequency density for this class interval?",15,1.5,150,10,40.0,,,
Calculate the mean from a list of data,"Averages (mean, median, mode) from a List of Data",A,"Calculate the mean of the following set of numbers:
\[ 5, 10, 15, 20, 25 \]
",\( 15 \),\( 5 \),\( 10 \),\( 25 \),,41.0,,
Identify the number of edges and vertices in 3D shapes,Properties of 3D Shapes,A,A cube has how many edges and how many vertices?,"12 edges, 8 vertices","8 edges, 12 vertices","6 edges, 8 vertices","12 edges, 6 vertices",,43.0,,
